Title,Speakers,Talk URL,Talk Thumbnail URL
Role of Palliative Care in times of Covid-19: Dr M R Rajagopal,[Dr M R Rajagopal],http://www.inktalks.com/discover/1051/role-of-palliative-care-in-times-of-covid-19-dr-m-r-rajagopal,https://inktalks-prod.s3.amazonaws.com/img/Rajagopal.jpg
Maintaining an ethical stand in clinical trials: Meena Dalal,[Meena Dalal],http://www.inktalks.com/discover/1050/maintaining-an-ethical-stand-in-clinical-trials-meena-dalal,https://inktalks-prod.s3.amazonaws.com/img/Meenal-Dalal.jpg
Impact of the pandemic on animals: Dr Pavan Kumar,[Dr Pavan Kumar],http://www.inktalks.com/discover/1049/impact-of-the-pandemic-on-animals-dr-pavan-kumar,https://inktalks-prod.s3.amazonaws.com/img/Pawan-Kumar.jpg
Awareness is the first step to safety : Dr Jagdish Chaturvedi,[Dr Jagdish Chaturvedi],http://www.inktalks.com/discover/1048/awareness-is-the-first-step-to-safety-dr-jagdish-chaturvedi,https://inktalks-prod.s3.amazonaws.com/img/Jagdish.jpg
Use your power responsibly: Ragini Dwivedi,[Ragini Dwivedi],http://www.inktalks.com/discover/1047/use-your-power-responsibly-ragini-dwivedi,https://inktalks-prod.s3.amazonaws.com/img/Ragini.jpg
Not physical distancing but social cohesion: Dr Giridhara Babu,[Dr Giridhara Babu],http://www.inktalks.com/discover/1045/not-physical-distancing-but-social-cohesion-dr-giridhara-babu,https://inktalks-prod.s3.amazonaws.com/img/Girdhar.jpg
What role can corporates play in the time of the pandemic? : Minol Ajekar,[Minol Ajekar],http://www.inktalks.com/discover/1044/what-role-can-corporates-play-in-the-time-of-the-pandemic-minol-ajekar,https://inktalks-prod.s3.amazonaws.com/img/Minol.jpg
How can Indian governance step up in the time of the pandemic? : Simar Suri,[Simar Suri],http://www.inktalks.com/discover/1043/how-can-indian-governance-step-up-in-the-time-of-the-pandemic-simar-suri,https://inktalks-prod.s3.amazonaws.com/img/Simran-puri.jpg
International trade relations in the face of the pandemic: Gitesh Agarwal,[Gitesh Agarwal],http://www.inktalks.com/discover/1042/international-trade-relations-in-the-face-of-the-pandemic-gitesh-agarwal,https://inktalks-prod.s3.amazonaws.com/img/Girish-Agarwal.jpg
Challenges of the health workers in a pandemic : Dr. Vijay Raju Krupesh,[Dr. Vijay Raju Krupesh],http://www.inktalks.com/discover/1040/challenges-of-the-health-workers-in-a-pandemic-dr-vijay-raju-krupesh,https://inktalks-prod.s3.amazonaws.com/img/Vijay.jpg
Innovating for Covid-19: Vaibhav Chhabra and Nitesh Jangir,['Vaibhav Chhabra'],http://www.inktalks.com/discover/1039/innovating-for-covid-19-vaibhav-chhabra-and-nitesh-jangir,https://inktalks-prod.s3.amazonaws.com/img/Image-7.jpg
Global perspectives on Covid-19: Juan Pablo Trujillo,[Juan Pablo Trujillo],http://www.inktalks.com/discover/1038/global-perspectives-on-covid-19-juan-pablo-trujillo,https://inktalks-prod.s3.amazonaws.com/img/Juan.jpg
Embracing renewable energy in post COVID-19 world: Balki Iyer,['Balki Iyer'],http://www.inktalks.com/discover/1037/embracing-renewable-energy-in-post-covid-19-world-balki-iyer,https://inktalks-prod.s3.amazonaws.com/img/Balki.jpg
India's medical preparedness to fight the COVID: Vishal Rao,[Vishal Rao],http://www.inktalks.com/discover/1036/india-s-medical-preparedness-to-fight-the-covid-vishal-rao,https://inktalks-prod.s3.amazonaws.com/img/Vishal-Roa2.jpg
India’s lockdown strategy: Dr. Vishal Rao,[Dr. Vishal Rao],http://www.inktalks.com/discover/1035/india-s-lockdown-strategy-dr-vishal-rao,https://inktalks-prod.s3.amazonaws.com/img/Vishal-Rao.jpg
What are our laws in the time of a pandemic? : K V Dhananjay,[K V Dhananjay],http://www.inktalks.com/discover/1034/what-are-our-laws-in-the-time-of-a-pandemic-k-v-dhananjay,https://inktalks-prod.s3.amazonaws.com/img/VK-1.jpg
Food industry in times of Covid: Pooja Dhingra,['Pooja Dhingra'],http://www.inktalks.com/discover/1033/Food%20industry%20in%20times%20of%20Covid%3A%20Pooja%20Dhingra,https://inktalks-prod.s3.amazonaws.com/img/Pooja.jpg
 Sabika Abbas Naqvi: Reclaiming public spaces through poetry,['Sabika Abbas Naqvi'],http://www.inktalks.com/discover/1031/sabika-abbas-naqvi-reclaiming-public-spaces-through-poetry,https://inktalks-prod.s3.amazonaws.com/img/Sabika.jpg
Inge De Lathauwer: Turning Tourism into a Force for Good,['Inge De Lathauwer'],http://www.inktalks.com/discover/1030/inge-de-lathauwer-turning-tourism-into-a-force-for-good,https://inktalks-prod.s3.amazonaws.com/img/Inge.jpg
Kaki: The Songstress of Thar,['Kaki -'],http://www.inktalks.com/discover/1029/kaki-the-songstress-of-thar,https://inktalks-prod.s3.amazonaws.com/img/kaki.jpg
Meeta Pandit: Taking classical music to the masses,['Meeta Pandit'],http://www.inktalks.com/discover/1028/meeta-pandit-taking-classical-music-to-the-masses,https://inktalks-prod.s3.amazonaws.com/img/meeta.jpg
PC Musthafa: From Getting One Meal a Day to Feeding Millions with Minimal Waste,['Musthafa PC'],http://www.inktalks.com/discover/1018/pc-musthafa-from-getting-one-meal-a-day-to-feeding-millions-with-minimal-waste,https://inktalks-prod.s3.amazonaws.com/img/PC-Ink.png
Prashant Gade: Doing more with less,['Prashant Gade '],http://www.inktalks.com/discover/1027/prashant-gade-doing-more-with-less,https://inktalks-prod.s3.amazonaws.com/img/prashant.jpg
Mahesh Bhupathi & Lara Dutta: What makes a superstar,['Mahesh Bhupathi'],http://www.inktalks.com/discover/1026/mahesh-bhupathi-lara-dutta-what-makes-superstars,https://inktalks-prod.s3.amazonaws.com/img/lara.png
"Samar Farooqui: Learning to trust oneself, through slacklining",['Samar Farooqui'],http://www.inktalks.com/discover/1025/samar-farooqui-learning-to-trust-oneself-through-slacklining,https://inktalks-prod.s3.amazonaws.com/img/Samir.png
Utkarsh Amitabh: The Power of Community,['Utkarsh Amitabh '],http://www.inktalks.com/discover/1024/utkarsh-amitabh-the-power-of-community,https://inktalks-prod.s3.amazonaws.com/img/Utkarsh.png
